locus,oldLocus,gene,description,logFC,qvalue
VC_RS10450,VC2177; VC_2177,,SirB2 family protein,-1.46731734754918,2.80308295399641e-05
VC_RS10455,VC2178; VC_2178,prmC,peptide chain release factor N(5)-glutamine methyltransferase,-1.02518391447148,0.0001941598533071
VC_RS10460,VC2179; VC_2179,prfA,peptide chain release factor 1,-0.36325375678393,0.0247911183859926
VC_RS10465,VC2180; VC_2180,hemA,glutamyl-tRNA reductase,-1.1501766487958,1.23422704624252e-05
VC_RS10470,VC2181; VC_2181,lolB,lipoprotein insertase outer membrane protein LolB,-0.966292651771208,4.02860616721786e-05
VC_RS10475,VC2182; VC_2182,ispE,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,-1.00121610680924,5.828770357268e-05
VC_RS10480,VC2183; VC_2183,,ribose-phosphate pyrophosphokinase,-1.53873452666751,1.95519541274201e-05
VC_RS10485,VC2184; VC_2184,pth,aminoacyl-tRNA hydrolase,-0.666728508964817,0.0011836769582868
VC_RS10490,VC2185; VC_2185,ychF,redox-regulated ATPase YchF,-0.803800711882021,0.000362525313279
VC_RS10575,VC2187; VC_2187,,flagellin,-5.05795554702243,5.24962891477581e-07
VC_RS10580,VC2188; VC_2188,,flagellin,-2.15382088428326,0.0001141069286503
VC_RS10585,VC2190; VC_2190,flgL,flagellar hook-associated protein FlgL,-2.48993024085791,4.49342106060843e-06
VC_RS10590,VC2191; VC_2191,flgK,flagellar hook-associated protein FlgK,-2.71475269288749,1.0777100364716e-06
VC_RS10595,VC2192; VC_2192,flgJ,flagellar assembly peptidoglycan hydrolase FlgJ,-0.906155324616752,8.35028203733146e-05
VC_RS10600,VC2193; VC_2193,,flagellar basal body P-ring protein FlgI,-1.23850332032161,0.0010488102765443
